CONTAINER_ID,ALERT_TRIGGERED_TIME,SERVICED_TIME,PICK_UP_TIME_HRS,OVERFLOW
"""6e7be7a0-8c7f-11e9-8870-25c099038bcd""",2019-06-18T00:03:06Z,2019-06-18T01:58:43Z,1.93,1
"""e0bf5110-7a8e-11e9-bbff-5db757276050""",2019-06-21T11:14:35Z,2019-06-21T17:05:49Z,5.85,1
"""aafa40f0-8586-11e9-9bd9-d76323b01f79""",2019-06-20T00:50:35Z,2019-06-20T14:01:20Z,13.18,1
"""aafa40f0-8586-11e9-9bd9-d76323b01f79""",2019-06-23T01:08:50Z,2019-06-23T15:47:23Z,14.64,1
"""e66b0b90-91f9-11e9-98ff-2452c8174312""",2019-06-23T05:47:13Z,2019-06-23T23:41:45Z,17.91,1
"""a9393430-857f-11e9-a48f-7cf9e67ecf57""",2019-06-18T00:17:30Z,2019-06-20T00:30:50Z,48.22,1
"""28081090-7a6a-11e9-82ad-1db489ee8053""",2019-06-20T00:26:34Z,2019-06-20T01:19:04Z,0.88,1
"""e6bc4c10-7a90-11e9-a4c3-f3445300a803""",2019-06-20T10:34:05Z,2019-06-20T17:29:23Z,6.92,1
"""5028b8f0-7bf9-11e9-874b-8065ffd5b292""",2019-06-19T00:00:12Z,2019-06-24T15:28:08Z,135.47,1
"""b0601eb0-9202-11e9-b61b-c1f3cfe34321""",2019-06-21T19:37:55Z,2019-06-23T01:46:01Z,30.14,1
"""a1b99110-7ffc-11e9-9f81-056ac7d011af""",2019-06-20T02:33:34Z,2019-06-20T06:06:03Z,3.54,1
"""8a6fe110-7fef-11e9-8c8a-b2988ee5f724""",2019-06-21T21:34:14Z,2019-06-23T22:03:28Z,48.49,1
"""02f77f10-8718-11e9-9ec7-50c0ec6423b5""",2019-06-26T22:15:12Z,2019-06-27T13:27:25Z,15.20,1
"""e583c050-906e-11e9-b1cb-f002f265071d""",2019-06-23T04:01:03Z,2019-06-23T21:34:18Z,17.55,1
"""e583c050-906e-11e9-b1cb-f002f265071d""",2019-06-24T21:53:29Z,2019-06-25T00:03:50Z,2.17,1
"""05358ce0-7c0f-11e9-9fde-a1c96106b891""",2019-06-22T18:54:14Z,2019-06-23T01:03:02Z,6.15,1
"""05358ce0-7c0f-11e9-9fde-a1c96106b891""",2019-06-23T07:10:32Z,2019-06-25T01:36:37Z,42.43,1
"""ef116cf0-9201-11e9-8c96-c2035eb10d8f""",2019-06-22T21:10:32Z,2019-06-23T18:40:17Z,21.50,1
